end_month,water_level_absolute,water_level_relative,reservoir
2020-10-01,119770876,0.816952985323684,BERDALSVATNET
2020-11-01,146606816,1,BERDALSVATNET
2020-12-01,219016716,1.49390541296525,BERDALSVATNET
2021-01-01,171470509,1.16959438638924,BERDALSVATNET
2021-02-01,178844670,1.21989328245148,BERDALSVATNET
2021-03-01,119287901,0.813658629623332,BERDALSVATNET
2021-04-01,72996812,0.497908719332667,BERDALSVATNET
2021-05-01,21953624,0.149744906812518,BERDALSVATNET
2021-06-01,116920669,0.797511822369841,BERDALSVATNET
2021-07-01,110711589,0.755159903343102,BERDALSVATNET
2021-08-01,36444096,0.248583913042624,BERDALSVATNET
2021-09-01,83186781,0.567414143964493,BERDALSVATNET
2021-10-01,82423496,0.562207803489846,BERDALSVATNET
2021-11-01,190066961,1.29644013959078,BERDALSVATNET
2021-12-01,200813730,1.36974347768388,BERDALSVATNET
2022-01-01,167209148,1.14052779101348,BERDALSVATNET
2022-02-01,186274368,1.27057099446181,BERDALSVATNET
2022-03-01,72767444,0.496344208171058,BERDALSVATNET
2022-04-01,35242972,0.240391087955965,BERDALSVATNET
2022-05-01,45820231,0.312538204226466,BERDALSVATNET
2022-06-01,58965431,0.40220115686845,BERDALSVATNET
2022-07-01,115944835,0.790855692548428,BERDALSVATNET
2022-08-01,97276405,0.663518979908819,BERDALSVATNET
2022-09-01,112466087,0.767127273264021,BERDALSVATNET
2022-10-01,107130609,0.730734163137408,BERDALSVATNET
2022-11-01,10492569,0.0715694487219476,BERDALSVATNET
2022-12-01,214508777,1.46315691761562,BERDALSVATNET
2023-01-01,192068018,1.31008927988723,BERDALSVATNET
2023-02-01,173258667,1.18179135000108,BERDALSVATNET
2023-03-01,103463997,0.705724330033878,BERDALSVATNET
